id,display_name,author,ab,publication_date,relevance_score,so,so_id,publisher,issn,url,first_page,last_page,volume,issue,is_oa,cited_by_count,counts_by_year,publication_year,cited_by_api_url,ids,doi,type,referenced_works,related_works,concepts
https://openalex.org/W2148497295,Submesoscale dispersion in the vicinity of the <i>Deepwater Horizon</i> spill,,"Reliable forecasts for the dispersion of oceanic contamination are important for coastal ecosystems, society and the economy as evidenced by the Deepwater Horizon oil spill in the Gulf of Mexico in 2010 and the Fukushima nuclear plant incident in the Pacific Ocean in 2011. Accurate prediction of pollutant pathways and concentrations at the ocean surface requires understanding ocean dynamics over a broad range of spatial scales. Fundamental questions concerning the structure of the velocity field at the submesoscales (100 meters to tens of kilometers, hours to days) remain unresolved due to a lack of synoptic measurements at these scales. \textcolor{black} {Using high-frequency position data provided by the near-simultaneous release of hundreds of accurately tracked surface drifters, we study the structure of submesoscale surface velocity fluctuations in the Northern Gulf Mexico. Observed two-point statistics confirm the accuracy of classic turbulence scaling laws at 200m$-$50km scales and clearly indicate that dispersion at the submesoscales is \textit{local}, driven predominantly by energetic submesoscale fluctuations.} The results demonstrate the feasibility and utility of deploying large clusters of drifting instruments to provide synoptic observations of spatial variability of the ocean surface velocity field. Our findings allow quantification of the submesoscale-driven dispersion missing in current operational circulation models and satellite altimeter-derived velocity fields.",2014-09-02,NA,Proceedings of the National Academy of Sciences of the United States of America,https://openalex.org/V125754415,Proceedings of the National Academy of Sciences,,https://www.pnas.org/content/pnas/111/35/12693.full.pdf,12693,12698,111,35,TRUE,204,,2014,https://api.openalex.org/works?filter=cites:W2148497295,,https://doi.org/10.1073/pnas.1402452111,journal-article,,,
https://openalex.org/W2783382583,Ocean convergence and the dispersion of flotsam,,"Floating oil, plastics, and marine organisms are continually redistributed by ocean surface currents. Prediction of their resulting distribution on the surface is a fundamental, long-standing, and practically important problem. The dominant paradigm is dispersion within the dynamical context of a nondivergent flow: objects initially close together will on average spread apart but the area of surface patches of material does not change. Although this paradigm is likely valid at mesoscales, larger than 100 km in horizontal scale, recent theoretical studies of submesoscales (less than ∼10 km) predict strong surface convergences and downwelling associated with horizontal density fronts and cyclonic vortices. Here we show that such structures can dramatically concentrate floating material. More than half of an array of ∼200 surface drifters covering ∼20 × 20 km 2 converged into a 60 × 60 m region within a week, a factor of more than 10 5 decrease in area, before slowly dispersing. As predicted, the convergence occurred at density fronts and with cyclonic vorticity. A zipperlike structure may play an important role. Cyclonic vorticity and vertical velocity reached 0.001 s −1 and 0.01 ms −1 , respectively, which is much larger than usually inferred. This suggests a paradigm in which nearby objects form submesoscale clusters, and these clusters then spread apart. Together, these effects set both the overall extent and the finescale texture of a patch of floating material. Material concentrated at submesoscale convergences can create unique communities of organisms, amplify impacts of toxic material, and create opportunities to more efficiently recover such material.",2018-02-06,NA,Proceedings of the National Academy of Sciences of the United States of America,https://openalex.org/V125754415,Proceedings of the National Academy of Sciences,,https://doi.org/10.1073/pnas.1718453115,1162,1167,115,6,TRUE,142,,2018,https://api.openalex.org/works?filter=cites:W2783382583,,https://doi.org/10.1073/pnas.1718453115,journal-article,,,
https://openalex.org/W1966392728,Improving Oceanic Overflow Representation in Climate Models: The Gravity Current Entrainment Climate Process Team,,"Abstract Oceanic overflows are bottom-trapped density currents originating in semienclosed basins, such as the Nordic seas, or on continental shelves, such as the Antarctic shelf. Overflows are the source of most of the abyssal waters, and therefore play an important role in the large-scale ocean circulation, forming a component of the sinking branch of the thermohaline circulation. As they descend the continental slope, overflows mix vigorously with the surrounding oceanic waters, changing their density and transport significantly. These mixing processes occur on spatial scales well below the resolution of ocean climate models, with the result that deep waters and deep western boundary currents are simulated poorly. The Gravity Current Entrainment Climate Process Team was established by the U.S. Climate Variability and Prediction (CLIVAR) Program to accelerate the development and implementation of improved representations of overflows within large-scale climate models, bringing together climate model dev...",2009-05-01,NA,Bulletin of the American Meteorological Society,https://openalex.org/V140302479,American Meteorological Society,,NA,657,670,90,5,FALSE,141,,2009,https://api.openalex.org/works?filter=cites:W1966392728,,https://doi.org/10.1175/2008bams2667.1,journal-article,,,
https://openalex.org/W2029786043,Seasonality of the submesoscale dynamics in the Gulf Stream region,,,2013-07-05,NA,Ocean Dynamics,https://openalex.org/V195553029,Springer Nature,,NA,923,941,63,8,FALSE,137,,2013,https://api.openalex.org/works?filter=cites:W2029786043,,https://doi.org/10.1007/s10236-013-0633-1,journal-article,,,
https://openalex.org/W2439048911,Advances in the Application of Surface Drifters,,"Surface drifting buoys, or drifters, are used in oceanographic and climate research, oil spill tracking, weather forecasting, search and rescue operations, calibration and validation of velocities from high-frequency radar and from altimeters, iceberg tracking, and support of offshore drilling operations. In this review, we present a brief history of drifters, from the message in a bottle to the latest satellite-tracked, multisensor drifters. We discuss the different types of drifters currently used for research and operations as well as drifter designs in development. We conclude with a discussion of the various properties that can be observed with drifters, with heavy emphasis on a critical process that cannot adequately be observed by any other instrument: dispersion in the upper ocean, driven by turbulence at scales from waves through the submesoscale to the large-scale geostrophic eddies.",2017-01-03,NA,Annual Review of Marine Science,https://openalex.org/V43203325,Annual Reviews,,NA,59,81,9,1,FALSE,116,,2017,https://api.openalex.org/works?filter=cites:W2439048911,,https://doi.org/10.1146/annurev-marine-010816-060641,journal-article,,,
https://openalex.org/W2135218124,Drifter motion in the Gulf of Mexico constrained by altimetric Lagrangian coherent structures,,"[1] Application of recent geometric tools for Lagrangian coherent structures (LCS) shows that material attraction in geostrophic velocities derived from altimetry data imposed an important constraint to the motion of drifters from the Grand Lagrangian Deployment (GLAD) in the Gulf of Mexico. This material attraction is largely transparent to traditional Eulerian analysis. Attracting LCS acted as approximate centerpieces for mesoscale patterns formed by the drifters. Persistently attracting LCS cores emerged 1 week before the development of a filament resembling the “tiger tail” of the Deepwater Horizon oil slick, thereby anticipating its formation. Our results suggest that the mesoscale circulation plays a significant role in shaping near-surface transport in the Gulf of Mexico.",2013-12-16,NA,Geophysical Research Letters,https://openalex.org/V36624081,Wiley,,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/2013GL058624,6171,6175,40,23,TRUE,88,,2013,https://api.openalex.org/works?filter=cites:W2135218124,,https://doi.org/10.1002/2013gl058624,journal-article,,,
https://openalex.org/W2114113819,Assimilation of drifter observations for the reconstruction of the Eulerian circulation field,,"[1] In light of the increasing number of drifting buoys in the ocean and recent advances in the realism of ocean general circulation models toward oceanic forecasting, the problem of assimilation of Lagrangian observations data in Eulerian models is investigated. A new and general rigorous approach is developed based on optimal interpolation (OI) methods, which takes into account directly the Lagrangian nature of the observations. An idealized version of this general formulation is tested in the framework of identical twin experiments using a reduced gravity, quasi-geostrophic model. An extensive study is conducted to quantify the effectiveness of Lagrangian data assimilation as a function of the number of drifters, the frequency of assimilation, and the uncertainties associated with the forcing functions driving the ocean model. The performance of the Lagrangian assimilation technique is also compared to that of conventional methods of assimilating drifters as moving current meters, and assimilation of Eulerian data, such as fixed-point velocities. Overall, the results are very favorable for the assimilation of Lagrangian observations to improve the Eulerian velocity field in ocean models. The results of our assimilation twin experiments imply an optimal sampling frequency for oceanic Lagrangian instruments in the range of 20–50% of the Lagrangian integral timescale of the flow field. INDEX TERMS: 4255 Oceanography: General: Numerical modeling; 4263 Oceanography: General: Ocean prediction; 3337 Meteorology and Atmospheric Dynamics: Numerical modeling and data assimilation; KEYWORDS: Lagrangian assimilation, drifters, Lagrangian velocity, Eulerian velocity, numerical model",2003-03-01,NA,Journal of Geophysical Research,https://openalex.org/V207178839,Wiley,,NA,NA,NA,108,C3,FALSE,84,,2003,https://api.openalex.org/works?filter=cites:W2114113819,,https://doi.org/10.1029/2001jc001240,journal-article,,,
https://openalex.org/W2761542745,A Biodegradable Surface Drifter for Ocean Sampling on a Massive Scale,,"Abstract Targeted observations of submesoscale currents are necessary to improve science’s understanding of oceanic mixing, but these dynamics occur at spatiotemporal scales that are currently challenging to detect. Prior studies have recently shown that the submesoscale surface velocity field can be measured by tracking hundreds of surface drifters released in tight arrays. This strategy requires drifter positioning to be accurate, frequent, and to last for several weeks. However, because of the large numbers involved, drifters must be low-cost, compact, easy to handle, and also made of materials harmless to the environment. Therefore, the novel Consortium for Advanced Research on Transport of Hydrocarbon in the Environment (CARTHE) drifter was designed following these criteria to facilitate massive sampling of near-surface currents during the Lagrangian Submesoscale Experiment (LASER). The drifting characteristics were determined under a wide range of currents, waves, and wind conditions in laboratory settings. Results showed that the drifter accurately follows the currents in the upper 0.60 m, that it presents minimal wave rectification issues, and that its wind-induced slip velocity is less than 0.5% of the neutral wind speed at 10 m. In experiments conducted in both coastal and deep ocean conditions under wind speeds up to 10 m s −1 , the trajectories of the traditional Coastal Ocean Dynamics Experiment (CODE) and the CARTHE drifters were nearly identical. Following these tests, 1100 units were produced and deployed during the LASER campaign, successfully tracking submesoscale and mesoscale features in the Gulf of Mexico. It is hoped that this drifter will enable high-density sampling near metropolitan areas subject to stress by the overpopulation, such as lakes, rivers, estuaries, and environmentally sensitive areas, such as the Arctic.",2017-11-29,NA,Journal of Atmospheric and Oceanic Technology,https://openalex.org/V135937692,American Meteorological Society,,https://journals.ametsoc.org/downloadpdf/journals/atot/34/11/jtech-d-17-0055.1.pdf,2509,2532,34,11,TRUE,81,,2017,https://api.openalex.org/works?filter=cites:W2761542745,,https://doi.org/10.1175/jtech-d-17-0055.1,journal-article,,,
https://openalex.org/W2125654295,The LatMix Summer Campaign: Submesoscale Stirring in the Upper Ocean,,"Abstract Lateral stirring is a basic oceanographic phenomenon affecting the distribution of physical, chemical, and biological fields. Eddy stirring at scales on the order of 100 km (the mesoscale) is fairly well understood and explicitly represented in modern eddy-resolving numerical models of global ocean circulation. The same cannot be said for smaller-scale stirring processes. Here, the authors describe a major oceanographic field experiment aimed at observing and understanding the processes responsible for stirring at scales of 0.1–10 km. Stirring processes of varying intensity were studied in the Sargasso Sea eddy field approximately 250 km southeast of Cape Hatteras. Lateral variability of water-mass properties, the distribution of microscale turbulence, and the evolution of several patches of inert dye were studied with an array of shipboard, autonomous, and airborne instruments. Observations were made at two sites, characterized by weak and moderate background mesoscale straining, to contrast different regimes of lateral stirring. Analyses to date suggest that, in both cases, the lateral dispersion of natural and deliberately released tracers was O(1) m2 s–1 as found elsewhere, which is faster than might be expected from traditional shear dispersion by persistent mesoscale flow and linear internal waves. These findings point to the possible importance of kilometer-scale stirring by submesoscale eddies and nonlinear internal-wave processes or the need to modify the traditional shear-dispersion paradigm to include higher-order effects. A unique aspect of the Scalable Lateral Mixing and Coherent Turbulence (LatMix) field experiment is the combination of direct measurements of dye dispersion with the concurrent multiscale hydrographic and turbulence observations, enabling evaluation of the underlying mechanisms responsible for the observed dispersion at a new level.",2015-09-16,NA,Bulletin of the American Meteorological Society,https://openalex.org/V140302479,American Meteorological Society,,NA,1257,1279,96,8,FALSE,80,,2015,https://api.openalex.org/works?filter=cites:W2125654295,,https://doi.org/10.1175/bams-d-14-00015.1,journal-article,,,
https://openalex.org/W2099177919,Three-Dimensional Turbulent Bottom Density Currents from a High-Order Nonhydrostatic Spectral Element Model,,"Overflows are bottom gravity currents that supply dense water masses generated in high-latitude and marginal seas into the general circulation. Oceanic observations have revealed that mixing of overflows with ambient water masses takes place over small spatial and time scales. Studies with ocean general circulation models indicate that the strength of the thermohaline circulation is strongly sensitive to representation of overflows in these models. In light of these results, overflow-induced mixing emerges as one of the prominent oceanic processes. In this study, as a continuation of an effort to develop appropriate process models for overflows, nonhydrostatic 3D simulations of bottom gravity are carried out that would complement analysis of dedicated observations and large-scale ocean modeling. A parallel high-order spectral-element Navier‐Stokes solver is used as the basis of the simulations. Numerical experiments are conducted in an idealized setting focusing on the startup phase of a dense water mass released at the top of a sloping wedge. Results from 3D experiments are compared with results from 2D experiments and laboratory experiments, based on propagation speed of the density front, growth rate of the characteristic head at the leading edge, turbulent overturning length scales, and entrainment parameters. Results from 3D experiments are found to be in general agreement with those from laboratory tank experiments. In 2D simulations, the propagation speed is approximately 20% slower than that of the 3D experiments and the head growth rate is 3 times as large, Thorpe scales are 1.3‐1.5 times as large, and the entrainment parameter is up to 2 times as large as those in the 3D experiments. The differences between 2D and 3D simulations are entirely due to internal factors associated with the truncation of the Navier‐Stokes equations for 2D approximation.",2004-09-01,NA,Journal of Physical Oceanography,https://openalex.org/V162372621,American Meteorological Society,,NA,2006,2026,34,9,FALSE,72,,2004,https://api.openalex.org/works?filter=cites:W2099177919,,https://doi.org/10.1175/1520-0485(2004)034<2006:ttbdcf>2.0.co;2,journal-article,,,
